"","DHSID","lat","long","base_WI_no_elec_m","n","dhsID_year","cnn_3q_42_ENS_pred","year","survey_year","row_num","treated_unit","treat_year","treated_id"
"1","UG200600000004",-0.499767,32.311082,-0.804407732783773,26,"UG200600000004_2016",-1.71683561802,"2016","2006","2",0,1,0
"3","UG200600000004",-0.499767,32.311082,-0.804407732783773,26,"UG200600000004_2009",-1.70069241524,"2009","2006","2",0,0,0
"4","UG200600000004",-0.499767,32.311082,-0.804407732783773,26,"UG200600000004_2014",-1.4779664278,"2014","2006","2",0,1,0
"5","UG200600000004",-0.499767,32.311082,-0.804407732783773,26,"UG200600000004_2011",-1.65805363655,"2011","2006","2",0,1,0
"7","UG200600000004",-0.499767,32.311082,-0.804407732783773,26,"UG200600000004_2007",-0.947409451008,"2007","2006","2",0,0,0
"9","UG200600000004",-0.499767,32.311082,-0.804407732783773,26,"UG200600000004_2013",-1.85965907574,"2013","2006","2",0,1,0
"10","UG200600000004",-0.499767,32.311082,-0.804407732783773,26,"UG200600000004_2012",-1.79107260704,"2012","2006","2",0,1,0
"11","UG200600000004",-0.499767,32.311082,-0.804407732783773,26,"UG200600000004_2008",-1.5921421051,"2008","2006","2",0,0,0
"12","UG200600000004",-0.499767,32.311082,-0.804407732783773,26,"UG200600000004_2010",-1.68262648582,"2010","2006","2",0,0,0
"15","UG200600000004",-0.499767,32.311082,-0.804407732783773,26,"UG200600000004_2015",-1.76717531681,"2015","2006","2",0,1,0
"16","UG200600000004",-0.499767,32.311082,-0.804407732783773,26,"UG200600000004_2006",-1.29718387127,"2006","2006","2",0,0,0
"18","UG200600000006",-0.199608,31.612805,-0.524399806866691,22,"UG200600000006_2010",-0.74358522892,"2010","2006","4",0,0,0
"21","UG200600000006",-0.199608,31.612805,-0.524399806866691,22,"UG200600000006_2014",-1.6837682724,"2014","2006","4",0,1,0
"22","UG200600000006",-0.199608,31.612805,-0.524399806866691,22,"UG200600000006_2015",-2.11746287346,"2015","2006","4",0,1,0
"23","UG200600000006",-0.199608,31.612805,-0.524399806866691,22,"UG200600000006_2012",-0.80109500885,"2012","2006","4",0,1,0
"25","UG200600000006",-0.199608,31.612805,-0.524399806866691,22,"UG200600000006_2008",-0.827231764793,"2008","2006","4",0,0,0
"26","UG200600000006",-0.199608,31.612805,-0.524399806866691,22,"UG200600000006_2007",-1.13688862324,"2007","2006","4",0,0,0
"28","UG200600000006",-0.199608,31.612805,-0.524399806866691,22,"UG200600000006_2011",-0.899524152279,"2011","2006","4",0,1,0
"29","UG200600000006",-0.199608,31.612805,-0.524399806866691,22,"UG200600000006_2013",-1.95543193817,"2013","2006","4",0,1,0
"31","UG200600000006",-0.199608,31.612805,-0.524399806866691,22,"UG200600000006_2006",-1.24317634106,"2006","2006","4",0,0,0
"33","UG200600000006",-0.199608,31.612805,-0.524399806866691,22,"UG200600000006_2016",-1.47821462154,"2016","2006","4",0,1,0
"34","UG200600000006",-0.199608,31.612805,-0.524399806866691,22,"UG200600000006_2009",-0.951467514038,"2009","2006","4",0,0,0
"36","UG200600000019",0.103618,31.748963,-0.815952352400814,21,"UG200600000019_2006",-1.77733004093,"2006","2006","13",0,0,0
"38","UG200600000019",0.103618,31.748963,-0.815952352400814,21,"UG200600000019_2016",-0.88826328516,"2016","2006","13",0,1,0
"39","UG200600000019",0.103618,31.748963,-0.815952352400814,21,"UG200600000019_2008",-2.10575675964,"2008","2006","13",0,0,0
"40","UG200600000019",0.103618,31.748963,-0.815952352400814,21,"UG200600000019_2015",-1.64441013336,"2015","2006","13",0,1,0
"41","UG200600000019",0.103618,31.748963,-0.815952352400814,21,"UG200600000019_2011",-0.962463438511,"2011","2006","13",0,1,0
"44","UG200600000019",0.103618,31.748963,-0.815952352400814,21,"UG200600000019_2007",-0.799742996693,"2007","2006","13",0,0,0
"45","UG200600000019",0.103618,31.748963,-0.815952352400814,21,"UG200600000019_2014",-1.2948615551,"2014","2006","13",0,1,0
