"","X","DHSID","lat","long","base_WI_no_elec_m","n","dhsID_year","cnn_3q_42_ENS_pred","year","survey_year","row_num","treated_unit","treat_year","treated_id","ntl_2003","ntl_2004","ntl_2005","ntl_2006","ntl_2007","ntl_2008","ntl_2009","ntl_2010","ntl_2011","ntl_2012","ntl_2013","ntl_2014","ntl_2015","ntl_2016"
"1",1,"UG200600000004",-0.499767,32.311082,-0.804407732783773,26,"UG200600000004_2014",-0.97847288847,2014,2006,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",49,"UG200600000019",0.103618,31.748963,-0.815952352400814,21,"UG200600000019_2014",0.0359718389809,2014,2006,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",65,"UG200600000023",-0.255863,31.195667,-1.44996206185932,23,"UG200600000023_2014",-2.32731103897,2014,2006,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",73,"UG200600000024",-0.847251,31.732653,-1.14988658604886,22,"UG200600000024_2014",-2.59205436707,2014,2006,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50",94,"UG200600000025",-0.504027,31.183568,-1.37592519526869,25,"UG200600000025_2014",-1.62512969971,2014,2006,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64",116,"UG200600000026",-0.509567,31.328109,-1.13118477828425,23,"UG200600000026_2014",-1.77848637104,2014,2006,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73",127,"UG200600000027",-0.561573,31.570126,-0.745767651855145,25,"UG200600000027_2014",-1.18625867367,2014,2006,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79",139,"UG200600000028",0.123882,31.214166,-1.68968618868062,24,"UG200600000028_2014",-1.10799431801,2014,2006,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90",156,"UG200600000029",-0.291423,31.391554,-0.888036832303987,23,"UG200600000029_2014",-1.29139661789,2014,2006,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106",179,"UG200600000030",-0.145982,31.435004,-1.20675292197908,26,"UG200600000030_2014",-0.901575982571,2014,2006,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"117",198,"UG200600000032",0.431351,32.282401,-0.841400412601112,24,"UG200600000032_2014",-1.31179404259,2014,2006,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"131",220,"UG200600000042",1.491609,32.529187,-1.30267883100449,22,"UG200600000042_2014",-1.76712667942,2014,2006,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"143",238,"UG200600000043",0.956516,31.831879,-1.51076173132659,22,"UG200600000043_2014",-1.81365668774,2014,2006,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"148",248,"UG200600000046",0.929063,32.438985,-1.33922211108238,23,"UG200600000046_2014",-0.379893630743,2014,2006,36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"161",265,"UG200600000048",0.894168,32.413036,-0.728502302177189,21,"UG200600000048_2014",-0.749802112579,2014,2006,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"173",284,"UG200600000051",0.46951,31.331333,-1.24797866286781,18,"UG200600000051_2014",-1.12949752808,2014,2006,41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"177",291,"UG200600000052",0.512382,31.557315,-1.34410195813831,26,"UG200600000052_2014",-0.880004405975,2014,2006,42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"197",321,"UG200600000054",0.648752,31.328888,-0.527803744597048,24,"UG200600000054_2014",-1.50945329666,2014,2006,44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"209",339,"UG200600000055",0.695439,31.801249,-1.25395218408261,26,"UG200600000055_2014",-0.731379628181,2014,2006,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"220",374,"UG200600000057",0.741383,31.917782,-1.11533602217523,22,"UG200600000057_2014",-2.18606710434,2014,2006,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"224",379,"UG200600000058",0.573414,31.919594,-0.941733153381582,27,"UG200600000058_2014",-1.77033162117,2014,2006,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"233",396,"UG200600000059",0.43761,32.148653,-0.847825152053741,23,"UG200600000059_2014",-1.21188867092,2014,2006,49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"250",421,"UG200600000062",0.430846,32.965229,-1.02000918176015,24,"UG200600000062_2014",-2.17272162437,2014,2006,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"254",427,"UG200600000063",0.362834,33.227008,-0.827995646672717,21,"UG200600000063_2014",-1.67970716953,2014,2006,53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"267",445,"UG200600000072",0.503527,32.866341,-0.18380617876093,22,"UG200600000072_2014",-1.39838516712,2014,2006,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
