"","DHSID","lat","long","base_WI_no_elec_m","n","dhsID_year","cnn_3q_42_ENS_pred","year","survey_year","row_num","treated_unit","treat_year","treated_id"
"1","UG200600000004",-0.499767,32.311082,-0.804407732783773,26,"UG200600000004_2015",-1.87371897697,"2015","2006","2",0,1,0
"2","UG200600000004",-0.499767,32.311082,-0.804407732783773,26,"UG200600000004_2010",-1.6520870924,"2010","2006","2",0,0,0
"3","UG200600000004",-0.499767,32.311082,-0.804407732783773,26,"UG200600000004_2012",-1.99318110943,"2012","2006","2",0,1,0
"4","UG200600000004",-0.499767,32.311082,-0.804407732783773,26,"UG200600000004_2009",-1.50665318966,"2009","2006","2",0,0,0
"8","UG200600000004",-0.499767,32.311082,-0.804407732783773,26,"UG200600000004_2006",-1.18047702312,"2006","2006","2",0,0,0
"9","UG200600000004",-0.499767,32.311082,-0.804407732783773,26,"UG200600000004_2013",-1.67374944687,"2013","2006","2",0,1,0
"10","UG200600000004",-0.499767,32.311082,-0.804407732783773,26,"UG200600000004_2011",-1.37799787521,"2011","2006","2",0,1,0
"12","UG200600000004",-0.499767,32.311082,-0.804407732783773,26,"UG200600000004_2016",-1.63879537582,"2016","2006","2",0,1,0
"15","UG200600000004",-0.499767,32.311082,-0.804407732783773,26,"UG200600000004_2014",-0.97847288847,"2014","2006","2",0,1,0
"16","UG200600000004",-0.499767,32.311082,-0.804407732783773,26,"UG200600000004_2008",-1.38042008877,"2008","2006","2",0,0,0
"17","UG200600000004",-0.499767,32.311082,-0.804407732783773,26,"UG200600000004_2007",-1.08896386623,"2007","2006","2",0,0,0
"36","UG200600000024",-0.847251,31.732653,-1.14988658604886,22,"UG200600000024_2006",-4.64660167694,"2006","2006","18",0,0,0
"37","UG200600000024",-0.847251,31.732653,-1.14988658604886,22,"UG200600000024_2014",-2.59205436707,"2014","2006","18",0,1,0
"38","UG200600000024",-0.847251,31.732653,-1.14988658604886,22,"UG200600000024_2015",-4.64660167694,"2015","2006","18",0,1,0
"39","UG200600000024",-0.847251,31.732653,-1.14988658604886,22,"UG200600000024_2009",-4.64660167694,"2009","2006","18",0,0,0
"41","UG200600000024",-0.847251,31.732653,-1.14988658604886,22,"UG200600000024_2007",-2.23770594597,"2007","2006","18",0,0,0
"45","UG200600000024",-0.847251,31.732653,-1.14988658604886,22,"UG200600000024_2016",-2.16138887405,"2016","2006","18",0,1,0
"46","UG200600000024",-0.847251,31.732653,-1.14988658604886,22,"UG200600000024_2010",-4.64660167694,"2010","2006","18",0,0,0
"47","UG200600000024",-0.847251,31.732653,-1.14988658604886,22,"UG200600000024_2011",-4.64660167694,"2011","2006","18",0,1,0
"48","UG200600000024",-0.847251,31.732653,-1.14988658604886,22,"UG200600000024_2008",-4.64660167694,"2008","2006","18",0,0,0
